,reaction_id,reaction_type,product_id,reactant_ids,product_smiles,reactant_smiles,product_mol,reactant_mols,new_smarts_check,unpacked_reactants
65983,65984,N-Boc_deprotection,67031,{67034},CC(=O)Nc1ccc(F)cc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36d7cd620>,{<rdkit.Chem.rdchem.Mol object at 0x35f089ee0>},False,CC(=O)Nc1cc(F)ccc1NC(=O)OC(C)(C)C
66027,66028,N-Boc_deprotection,67078,{67080},Nc1cc(F)ccc1NC(=O)CF,set(),<rdkit.Chem.rdchem.Mol object at 0x36d7ce3e0>,{<rdkit.Chem.rdchem.Mol object at 0x35f08b6f0>},False,CC(C)(C)OC(=O)Nc1ccc(F)cc1NC(=O)CF
66110,66111,N-Boc_deprotection,67158,{67160},CCC(=O)Nc1ccc(F)cc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36d7cfdd0>,{<rdkit.Chem.rdchem.Mol object at 0x35f0a25c0>},False,CCC(=O)Nc1cc(F)ccc1NC(=O)OC(C)(C)C
66136,66137,N-Boc_deprotection,67183,{67185},C=CC(=O)Nc1ccc(F)cc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x35aae0630>,{<rdkit.Chem.rdchem.Mol object at 0x35f0a3420>},False,C=CC(=O)Nc1cc(F)ccc1NC(=O)OC(C)(C)C
66151,66152,N-Boc_deprotection,67197,{67199},Nc1cc(F)ccc1NC(=O)CCl,set(),<rdkit.Chem.rdchem.Mol object at 0x35aae0ae0>,{<rdkit.Chem.rdchem.Mol object at 0x35f0a3c40>},False,CC(C)(C)OC(=O)Nc1ccc(F)cc1NC(=O)CCl
66256,66257,N-Boc_deprotection,67301,{67303},Nc1cc(F)ccc1NC(=O)CI,set(),<rdkit.Chem.rdchem.Mol object at 0x35aae2bb0>,{<rdkit.Chem.rdchem.Mol object at 0x35f0c7a60>},False,CC(C)(C)OC(=O)Nc1ccc(F)cc1NC(=O)CI
66403,66404,N-Boc_deprotection,67448,{67451},CC(=O)Nc1cc(Cl)ccc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x35aaf99e0>,{<rdkit.Chem.rdchem.Mol object at 0x35f205300>},False,CC(=O)Nc1ccc(Cl)cc1NC(=O)OC(C)(C)C
66481,66482,N-Boc_deprotection,67526,{67528},Nc1cc(F)ccc1NC(=O)CO,set(),<rdkit.Chem.rdchem.Mol object at 0x35aafb240>,{<rdkit.Chem.rdchem.Mol object at 0x35f230220>},False,CC(C)(C)OC(=O)Nc1ccc(F)cc1NC(=O)CO
66498,66499,N-Boc_deprotection,67542,{67544},Nc1cc(F)ccc1NC(=O)CBr,set(),<rdkit.Chem.rdchem.Mol object at 0x35aafb790>,{<rdkit.Chem.rdchem.Mol object at 0x35f230c20>},False,CC(C)(C)OC(=O)Nc1ccc(F)cc1NC(=O)CBr
66576,66577,N-Boc_deprotection,67620,{67622},Nc1cc(F)ccc1NC(=O)CS,set(),<rdkit.Chem.rdchem.Mol object at 0x35aa65030>,{<rdkit.Chem.rdchem.Mol object at 0x35f233ba0>},False,CC(C)(C)OC(=O)Nc1ccc(F)cc1NC(=O)CS
67127,67128,N-Boc_deprotection,68168,{68170},C#CC(=O)Nc1ccc(F)cc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x35aa1fce0>,{<rdkit.Chem.rdchem.Mol object at 0x35f2f1170>},False,C#CC(=O)Nc1cc(F)ccc1NC(=O)OC(C)(C)C
102341,102342,N-Boc_deprotection,103930,{103932},Nc1ccc(Cl)cc1NC(=O)CO,set(),<rdkit.Chem.rdchem.Mol object at 0x36e632430>,{<rdkit.Chem.rdchem.Mol object at 0x36a024ef0>},False,CC(C)(C)OC(=O)Nc1cc(Cl)ccc1NC(=O)CO
102377,102378,N-Boc_deprotection,103963,{103965},Nc1ccc(Cl)cc1NC(=O)C1CO1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e632f70>,{<rdkit.Chem.rdchem.Mol object at 0x36a026250>},False,CC(C)(C)OC(=O)Nc1cc(Cl)ccc1NC(=O)C1CO1
102388,102389,N-Boc_deprotection,103973,{103975},Nc1ccc(Cl)cc1NC(=O)C(O)O,set(),<rdkit.Chem.rdchem.Mol object at 0x36e6332e0>,{<rdkit.Chem.rdchem.Mol object at 0x36a0267f0>},False,CC(C)(C)OC(=O)Nc1cc(Cl)ccc1NC(=O)C(O)O
102420,102421,N-Boc_deprotection,87472,{104006},Cc1ccc(NC(=O)C(C)O)c(N)c1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e633ce0>,{<rdkit.Chem.rdchem.Mol object at 0x36a0278d0>},False,Cc1ccc(NC(=O)OC(C)(C)C)c(NC(=O)C(C)O)c1
102446,102447,N-Boc_deprotection,104031,{94288},Nc1ccc(F)cc1NC(=O)C1CO1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e680540>,{<rdkit.Chem.rdchem.Mol object at 0x36a050680>},False,CC(C)(C)OC(=O)Nc1cc(F)ccc1NC(=O)C1CO1
102451,102452,N-Boc_deprotection,104034,{104036},NOCC(=O)Nc1cc(Cl)ccc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36e6806d0>,{<rdkit.Chem.rdchem.Mol object at 0x36a050900>},False,CC(C)(C)OC(=O)Nc1cc(Cl)ccc1NC(=O)CON
102456,102457,N-Boc_deprotection,104039,{94291},Nc1ccc(F)cc1NC(=O)C(O)O,set(),<rdkit.Chem.rdchem.Mol object at 0x36e680860>,{<rdkit.Chem.rdchem.Mol object at 0x36a050b80>},False,CC(C)(C)OC(=O)Nc1cc(F)ccc1NC(=O)C(O)O
102467,102468,N-Boc_deprotection,94277,{104051},NOCC(=O)Nc1ccc(F)cc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36e680bd0>,{<rdkit.Chem.rdchem.Mol object at 0x36a0511c0>},False,CC(C)(C)OC(=O)Nc1ccc(F)cc1NC(=O)CON
102511,102512,N-Boc_deprotection,104093,{87461},Cc1ccc(N)c(NC(=O)CO)c1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e681990>,{<rdkit.Chem.rdchem.Mol object at 0x36a052c00>},False,Cc1ccc(NC(=O)CO)c(NC(=O)OC(C)(C)C)c1
102536,102537,N-Boc_deprotection,104115,{104117},CC(O)C(=O)Nc1cc(Cl)ccc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36e682160>,{<rdkit.Chem.rdchem.Mol object at 0x36a053ab0>},False,CC(O)C(=O)Nc1ccc(Cl)cc1NC(=O)OC(C)(C)C
102593,102594,N-Boc_deprotection,94320,{104173},CC(O)C(=O)Nc1ccc(F)cc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36e683330>,{<rdkit.Chem.rdchem.Mol object at 0x36a075c10>},False,CC(O)C(=O)Nc1cc(F)ccc1NC(=O)OC(C)(C)C
102633,102634,N-Boc_deprotection,104211,{94457},COCC(=O)Nc1cc(F)ccc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36e683fb0>,{<rdkit.Chem.rdchem.Mol object at 0x36a0773d0>},False,COCC(=O)Nc1ccc(F)cc1NC(=O)OC(C)(C)C
102648,102649,N-Boc_deprotection,104225,{87616},COCC(=O)Nc1cc(C)ccc1N,set(),<rdkit.Chem.rdchem.Mol object at 0x36e6bc4a0>,{<rdkit.Chem.rdchem.Mol object at 0x36a077c90>},False,COCC(=O)Nc1ccc(C)cc1NC(=O)OC(C)(C)C
102777,102778,N-Boc_deprotection,77435,{104355},COc1ccc(N)c(NC(=O)CO)c1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e6becf0>,{<rdkit.Chem.rdchem.Mol object at 0x36a0b4b30>},False,COc1ccc(NC(=O)CO)c(NC(=O)OC(C)(C)C)c1
102826,102827,N-Boc_deprotection,104402,{87478},Cc1ccc(N)c(NC(=O)C2CO2)c1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e6bfc40>,{<rdkit.Chem.rdchem.Mol object at 0x36a0b68e0>},False,Cc1ccc(NC(=O)C2CO2)c(NC(=O)OC(C)(C)C)c1
102841,102842,N-Boc_deprotection,104416,{87464},Cc1ccc(N)c(NC(=O)CON)c1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e6f8130>,{<rdkit.Chem.rdchem.Mol object at 0x36a0b71a0>},False,Cc1ccc(NC(=O)CON)c(NC(=O)OC(C)(C)C)c1
102853,102854,N-Boc_deprotection,104427,{87481},Cc1ccc(N)c(NC(=O)C(O)O)c1,set(),<rdkit.Chem.rdchem.Mol object at 0x36e6f84f0>,{<rdkit.Chem.rdchem.Mol object at 0x36a0b7880>},False,Cc1ccc(NC(=O)C(O)O)c(NC(=O)OC(C)(C)C)c1
